ModelName,Carrier,Storage,Color,Value,ItemDescription
iPhone XR,verizon,128 GB,white,675,"The phone was used only for a few days . It’s in Perfect condition . No scratches or blemishes of any kind . Unlocked , any GSM carrier .  Comes  in the original box  with a wall charger , original headphones , and a nice case . Nothing else is included ."
iPhone 7 Plus,t-mobile,32 GB,rose gold,92.99,This iPhone is being sold as is for parts or repair only. It has a bad esn and is iCloud locked. It is in very good cosmetic condition. See photos and description before purchasing.
iPhone 7 Plus,unlocked,32 GB,rose gold,290,This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs.The device has been reset to the Original setting.The device has been tested by our internal Certified QC using Certified Software.No iCloud account linked to the device.
iPhone 7 Plus,verizon,32 GB,black,296,"Refurbished, 35 Point Inspection, & 100% Functional. Please read the description. May have a few scratches, minor dings and small scrapes on the edges, and/or some scuffs on the housing from normal pocket ware."
iPhone 7,unlocked,128 GB,jet black,212.5,"Gently Used - Tested Working and Fully Functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6s Plus,sprint,32 GB,rose gold,213.97,"This Sprint Rose Gold 32GB Apple iPhone 6S Plus is in NEW cosmetic condition. It looks amazing. I could not find any marks. If there is anything I missed, it is very light. The battery life is great on this phone (I tested it with official Apple software). It comes with the original box and comes with an Apple OEM USB cable and an Apple OEM Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty! I AM INCLUDING A SUPER NICE TEMPERED GLASS SCREEN PROTECTOR WITH THE SALE AS WELL!"
iPhone XR,t-mobile,64 GB,black,375,iphone xr 64gb black t-mobile . phone is used it has minor scratches on the side and on the back. phone has been fully tested and everything works fine. no box no accessories
iPhone 6s Plus,unlocked,16 GB,rose gold,152.5,"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6s,unlocked,64 GB,rose gold,141,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Please view Pictures for Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6 Plus,unlocked,64 GB,gold,162.5,"Gently Used - Tested Working and Functional. Unit will have minor scuffs, dents and scratches. Please view Pictures for Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6s,unlocked,32 GB,space gray,118.5,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Please view Pictures for Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6s,unlocked,32 GB,gold,118.2,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone Xs Max,unlocked,512 GB,gold,1099.95,100% new & authentic. Plastic wrap was removed to inspect the contents and to make sure nothing was damaged.
iPhone 7 Plus,verizon,128 GB,black,320,"35 Point Inspection, & 100% Functional. Please read the description. May have a few scratches, minor dings and small scrapes on the edges, and/or some scuffs on the housing from normal pocket ware."
iPhone 6s Plus,unlocked,64 GB,rose gold,179.99,"Phone is in good condition. The screen and the housing are in good condition, showing some wear.  We grade it an 8/10 cosmetic.  Please refer to auction pictures which are of the actual phone for this listing."
iPhone 6 Plus,sprint,16 GB,silver,100,I bought it new and used it for about 4-5 years. Phone is in great condition. Screen is perfect--no scratches. Comes with an old case and no other accessories.
iPhone 6 Plus,verizon,64 GB,space gray,96,"This device is a 64GB, Space Gray iPhone 6 Plus for the Verizon network. This device has a clean ESN and can be activated on the Verizon network. This device's housing is bent. SELLING AS IS. This device is currently fully functional, but being bent could cause it other issues in the long run. There are a lot of small scratches on the screen. There are many scratches around the charge port. There is a lot of wear on the back housing."
iPhone 6,unlocked,16 GB,silver,54.95,Screen is cracked & LCD touch does not work. It also has scratches on the back & border. Please see pics. This phone is carrier unlocked. There is no iCloud account attached. The IMEI is 359299066501243
iPhone 6s,verizon,16 GB,space gray,19.95,*Phone Did Not Power On When Tested* *Cracked Screen* *iCloud Status Unknown*
iPhone 6s,sprint,32 GB,space gray,84.99,The Phone is fully functional and works great but we do not know the status of the IMEI or if it can be used on the Sprint Network. Also the power button does not work. Please read the full description.
iPhone 6s Plus,unlocked,64 GB,rose gold,169.99,"Phone is in good condition. The screen and the housing are in good condition, showing moderate wear.  We grade it an 7/10 cosmetic.  Please refer to auction pictures which are of the actual phone for this listing."
iPhone 7 Plus,unlocked,32 GB,rose gold,285,This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs.The device has been reset to the Original setting.The device has been tested by our internal Certified QC using Certified Software.No iCloud account linked to the device.
iPhone Xs,unlocked,64 GB,gold,660.75,9/10! Will work with Xfinity Carrier! Free Delivery! 64GB! Warranty is active! Please see all pictures below! Read details in description box!
iPhone 7,unlocked,128 GB,jet black,279,"This Factory Unlocked Black 128GB Apple iPhone 7 is in NEW cosmetic condition. It looks amazing. I could not find any marks. If there is anything I missed, it is very light. It comes with the original box and comes with an Apple OEM USB cable and an Apple OEM Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty! I AM INCLUDING A SUPER NICE TEMPERED GLASS SCREEN PROTECTOR WITH THE SALE AS WELL!"
iPhone X,unlocked,128 GB,space gray,770,"Grade A+ : This device have very little to no signs of previous usage. The screen has negligible scratching and is nearly flawless. The casing will not have any dents and insignificant scuffing. This device functions 100% perfectly after going through our 41-point inspection process. We guarantee functionality of the device for 2 months from date of purchase - free returns, as long as the defect was not created due to improper care (water damage, impact damage, etc)"
iPhone 5s,verizon,16 GB,gray,48,"Used, but near perfect, there is a shallow scratch near the bottom of the phone on the black part (not on screen), comes with a case and no other accessories.  Not locked to a Verizon contract."
iPhone 6s Plus,unlocked,32 GB,rose gold,169.99,"Phone is in good condition. The screen and the housing are in good condition, showing some wear.  We grade it an 8/10 cosmetic.  Please refer to auction pictures which are of the actual phone for this listing."
iPhone Xs Max,t-mobile,256 GB,gold,299.95,The phone is cracked on the front glass and has a bad LCD. The screen flashes green and has dark spots. FMI is off and the phone has been factory reset. The phone shows light to moderate scratches and normal signs of wear. The front glass is cracked but the back glass is not cracked.
iPhone 6 Plus,unlocked,16 GB,gold,144.73,"Gently Used - Tested Working and fully functional. Unit will have some scuffs, dents and scratches. Units are graded 8 / 10 in Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network. *We Record The Serial Number of Every Unit We Ship Out*"
iPhone 7 Plus,sprint,128 GB,rose gold,284.95,This item is in Great 8/10 Condition with minor signs of use (Light Scratching/Scuffing) on housing and screen - Fully Functional - Sim Card & Earbuds NOT included - This device will work on Sprint Network Only
iPhone 6s,sprint,32 GB,space gray,100,"Apple iPhone 6s A1688 32GB Space Gray - Used, Working, Clean IMEI. Includes the phone only. No accessories included. It has been restored to factory settings and loaded with iOS 12.4. There is no SIM card included. You will need to get a SIM card and account from Verizon, Sprint or T-Mobile. There are some light scratches, but no cracks or dents. Offered ""As-Is"" The IMEI is clean and there is no iCloud lock."
iPhone X,t-mobile,64 GB,silver,489,"This unit has been fully tested and reset to default factory settings. This unit shows moderate signs of use, including multiple scratches on the screen and back casing. This unit includes the AC Adapter, Lightning Cable, Earphones, and 3.5mm Adapter. This unit comes packaged in its original box."
